Дата,Авиаотделение,Метеостанция,Температура,Точка_росы,Время_измерения,Осадки,Высота_снега,КППО_1,Класс_ПО_1,КППО_2,Класс_ПО_2,КППО_3,Класс_ПО_3,Пред_день,Ночь,Признак_снега
2025-07-16,Алапаевское,28248 : Алапаевск,18.0,4.3,14:00,0.0,0,4147,4,3421,3,7865,5,1,1,1
2025-07-16,,28346 : Артемовский,16.9,4.2,14:00,1.0,0,2419,3,1180,2,5108,4,1,1,1
2025-07-16,,28351 : Ирбит-Фомино,17.5,7.6,14:00,2.9,0,1601,2,590,1,4519,4,0,1,1
2025-07-16,,28345 : Липовское,16.2,5.9,14:00,1.0,0,1528,2,1050,2,2146,3,1,1,1
2025-07-16,Ивдельское,23829 : Атымья,13.1,6.4,14:00,0.4,0,174,1,568,1,3772,3,1,1,1
2025-07-16,,23827 : Бурмантово,14.8,7.6,14:00,1.0,0,3358,3,990,1,7076,5,1,1,1
2025-07-16,,23921 : Ивдель,15.5,5.4,14:00,0.7,0,4014,4,850,1,9240,5,1,1,1
2025-07-16,Красноуфимская,28333 : Висим,15.4,8.1,14:00,3.0,0,112,1,600,1,1398,2,1,1,1
2025-07-16,,28233 : Кушва,15.5,4.6,14:00,0.1,0,1777,2,1649,2,2121,3,1,1,1
2025-07-16,,28240 : Нижний Тагил,16.2,6.1,14:00,0.6,0,1349,2,940,1,1425,2,1,1,1
2025-07-16,Свердловское,28445 : Верхнее Дуброво,16.4,5.6,14:00,4.5,0,177,1,420,1,1795,2,1,1,1
2025-07-16,,28440 : Екатеринбург,15.8,4.0,14:00,5.0,0,186,1,330,1,4118,4,1,1,1
2025-07-16,,28441 : Исток,16.0,5.3,14:00,2.8,0,2334,3,640,1,4484,4,1,1,1
2025-07-16,,28449 : Каменск-Уральский,19.0,7.3,14:00,0.4,0,1750,2,1551,2,1786,2,1,1,1
2025-07-16,,28444 : Кольцово,17.1,5.9,14:00,4.3,0,192,1,270,1,774,1,0,0,1
2025-07-16,,28430 : Ревда,15.8,4.6,14:00,7.0,0,177,1,270,1,1686,2,1,1,1
2025-07-16,,28448 : Сысерть,17.4,4.3,14:00,3.4,0,228,1,280,1,556,1,1,1,1
2025-07-16,Серовское,28144 : Верхотурье,16.8,6.7,14:00,1.0,0,2826,3,1030,2,3309,3,1,1,1
2025-07-16,,28041 : Краснотурьинск,15.2,6.0,14:00,0.0,0,2892,3,1320,2,4742,4,1,1,1
2025-07-16,,28036 : Кытлым,14.4,3.5,14:00,0.0,0,2103,3,1746,2,4760,4,1,1,1
2025-07-16,,23919 : Североуральск,16.4,4.9,14:00,0.1,0,4118,4,3547,3,9845,5,1,1,1
2025-07-16,,28044 : Серов,15.9,2.9,14:00,0.3,0,383,1,847,1,4001,4,1,1,1
2025-07-16,Сосьвинское,28049 : Гари,15.8,7.6,14:00,1.0,0,230,1,530,1,3360,3,1,1,1
2025-07-16,,28143 : Сосьва,16.4,6.1,14:00,1.2,0,2470,3,680,1,2656,3,0,0,1
2025-07-16,,23925 : Шанталь,14.3,7.6,14:00,2.0,0,222,1,280,1,1723,2,0,0,1
2025-07-16,Тавдинское,28158 : Таборы,16.4,6.2,14:00,1.0,0,951,1,660,1,3470,3,1,1,1
2025-07-16,,28264 : Тавда,18.0,4.9,14:00,6.0,0,236,1,290,1,4145,4,1,1,1
2025-07-16,,28353 : Туринская Слобода,19.0,7.4,14:00,0.0,0,2120,3,1506,2,3947,3,1,1,1
2025-07-16,Тугулымское,28443 : Богданович,17.3,5.9,14:00,4.2,0,197,1,350,1,1559,2,0,0,1
2025-07-16,,28455 : Бутка,18.6,7.9,14:00,4.0,0,199,1,460,1,1443,2,1,1,1
2025-07-16,,28451 : Камышлов,18.5,6.7,14:00,7.0,0,218,1,270,1,1113,2,1,1,1
2025-07-16,,28359 : Тугулым,20.4,6.6,14:00,0.2,0,2654,3,2615,3,6346,5,1,1,1
2025-07-16,,28135 : Качканар,15.4,1.8,14:00,0.0,0,1958,2,1109,2,5825,4,1,1,1
2025-07-16,,28434 : Красноуфимск,18.3,8.5,14:00,4.0,0,179,1,480,1,2978,3,1,1,1
2025-07-16,,28438 : Михайловск,18.0,6.5,14:00,2.0,0,3199,3,910,1,3111,3,1,1,1
2025-07-16,,28344 : Невьянск,15.8,4.4,14:00,2.0,0,1827,2,850,1,1646,2,1,1,1
2025-07-16,,28255 : Туринск,16.5,8.1,14:00,4.0,0,139,1,370,1,5342,4,1,1,1
2025-07-16,,28334 : Шамары,15.5,8.9,14:00,8.0,0,102,1,250,1,888,1,1,1,1
2025-08-31,Алапаевское,28248 : Алапаевск,18.1,5.7,14:00,0.1,0,2962,3,954,1,4110,4,1,1,1
2025-08-31,,28346 : Артемовский,15.3,7.5,14:00,0.3,0,266,1,469,1,2675,3,1,1,1
2025-08-31,,28351 : Ирбит-Фомино,17.6,9.1,14:00,0.0,0,371,1,320,1,345,1,1,1,1
2025-08-31,,28345 : Липовское,15.6,8.9,14:00,0.0,0,228,1,285,1,940,1,1,1,1
2025-08-31,Ивдельское,23829 : Атымья,15.1,6.3,14:00,0.0,0,247,1,313,1,5835,4,1,1,1
2025-08-31,,23827 : Бурмантово,16.9,8.1,14:00,0.0,0,473,1,408,1,690,1,1,1,1
2025-08-31,,23921 : Ивдель,16.9,6.7,14:00,0.0,0,779,1,587,1,3541,3,1,1,1
2025-08-31,Красноуфимская,28333 : Висим,14.4,10.6,14:00,0.0,0,124,1,115,1,1094,2,1,1,1
2025-08-31,,28233 : Кушва,14.6,7.0,14:00,0.0,0,684,1,341,1,1799,2,1,1,1
2025-08-31,,28240 : Нижний Тагил,15.9,7.6,14:00,0.0,0,304,1,302,1,892,1,1,1,1
2025-08-31,Свердловское,28445 : Верхнее Дуброво,14.2,8.1,14:00,0.1,0,190,1,207,1,2121,3,1,1,1
2025-08-31,,28440 : Екатеринбург,14.5,7.9,14:00,0.2,0,214,1,546,1,1860,2,1,1,1
2025-08-31,,28441 : Исток,14.4,8.3,14:00,0.0,0,197,1,198,1,2206,3,1,1,1
2025-08-31,,28449 : Каменск-Уральский,15.4,9.4,14:00,0.0,0,1902,2,712,1,1569,2,1,1,1
2025-08-31,,28444 : Кольцово,14.1,9.1,14:00,0.6,0,177,1,60,1,789,1,0,0,1
2025-08-31,,28430 : Ревда,14.7,8.2,14:00,0.1,0,175,1,276,1,535,1,1,1,1
2025-08-31,,28448 : Сысерть,12.7,8.2,14:00,0.3,0,202,1,217,1,3420,3,1,1,1
2025-08-31,Серовское,28144 : Верхотурье,16.1,8.2,14:00,2.1,0,192,1,100,1,130,1,1,1,1
2025-08-31,,28041 : Краснотурьинск,16.5,6.9,14:00,0.0,0,736,1,611,1,983,1,1,1,1
2025-08-31,,28036 : Кытлым,14.6,9.1,14:00,0.0,0,226,1,140,1,230,1,1,1,1
2025-08-31,,23919 : Североуральск,14.9,7.1,14:00,0.0,0,243,1,226,1,557,1,1,1,1
2025-08-31,,28044 : Серов,16.1,5.5,14:00,0.0,0,942,1,806,1,2702,3,1,1,1
2025-08-31,Сосьвинское,28049 : Гари,16.5,7.8,14:00,0.0,0,230,1,384,1,8136,5,1,1,1
2025-08-31,,28143 : Сосьва,16.6,7.5,14:00,1.3,0,726,1,220,1,678,1,0,0,1
2025-08-31,,23925 : Шанталь,16.1,7.4,14:00,1.3,0,299,1,140,1,441,1,0,0,1
2025-08-31,Тавдинское,28158 : Таборы,15.0,8.7,14:00,2.0,0,276,1,200,1,108,1,1,1,1
2025-08-31,,28264 : Тавда,15.8,7.0,14:00,0.3,0,604,1,399,1,952,1,1,1,1
2025-08-31,,28353 : Туринская Слобода,16.1,8.4,14:00,0.5,0,233,1,374,1,2579,3,1,1,1
